Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
17313~Negotiable instruments act 1981 ( 26 of 1881, as amended by the negotiable instruments (amendment) act 2015 (26 of 2015)- bare act 2016 with short comments~PBP~22150
17314~Negotiable instruments act bhashyam & adiga~Srinivasan, T. R. & Ramamurthi, K.~1845
17315~Negotiate the deal you want~Calero, H. [Et.al]~8180
17316~Negotiate to close ~Karrass, Gary~4099
17317~Negotiate to succeed~Lewthwaite, Julie~22329
17318~Negotiate to win~Schoonmaker, Alan N~16226
17319~Negotiated change~Ratnam, C.S.Venkata~21815
17320~Negotiating and influencing skills~Mcrae, Brad~10377
17321~Negotiating and writing a collective agreement~Dunning Harold~18900
17322~Negotiating competitiveness - employment relations & organization~Wever, K.S.~18663
17323~Negotiating in a week~Fleming, Peter~21491
17324~Negotiating in organizations~Bazerman, Max & Lewicki, Roy J~17859
17325~Negotiating outcomes~HBS~16275
17326~Negotiating persuading and influencing~Fowler, Alan~40
17327~Negotiating skills~Hindle, T.~4062
17328~Negotiating skills (Disc 1 and Disc 2)~Buzzers~25529
17329~Negotiating tactics~Levin, Edward~20962
17330~Negotiating the nonnegotiable ~Shapiro, Daniel~2398
17331~Negotiating worldwide~Hendon, Donald W.~2716
17332~Negotiating, influencing and persuading~Gillen Terry~16911
17333~Negotiating, influencing and persuading; with CD~Gillen Terry~24140
17334~Negotiation~Spangle, Michael~10956
17335~Negotiation~HBS~10957
17336~Negotiation~Lewicki, R.J. [Et.al]~10958
17337~Negotiation genius~Malhotra, Deepak~15135
17338~Negotiation in commercial/industrial disputes~Jegadeesan, G.~380
17339~Negotiation skills~Zenith Global Consultants Ltd.~23249
17340~Negotiation skills for managers~Cohen, Steven~11408
17341~Negotiation skills in 7 imple steps~Dignall, Clare~10515
17342~Negotiations~Laws, Anne~1934
17343~Negotiator~Forsyth, Frederick~14721
17344~Neha, my sister~Joshi Madhu B.~24585
17345~Nehru ~Tharoor Shashi~14619
17346~Nehru~Akbar, M.J.~14620
17347~Nehru ~Wolpert, Stanley~14621
17348~Nehru and bose ~Mukherjee, Rudrangshu~16200
17349~Nehru-A Life~Wright Reg~24442
17350~Nelson Mandela~Pogrund, Benjamin~24505
17351~Nelson mandela - struggle is my life~Idaf~14943
17352~Nero burning rom (V5.5.8.2)~~25685
17353~Nero's guest DVD~Mistral Movies~24965
17354~Net force~Clancy, Tom~19481
17355~Net profit~Cohan, Peter S.~20254
17356~Net retentions - the prize-winning papers inthe boles law monic~Nederlandse, Reassurantie [Et.al]~9670
17357~Net slaves~Lessard, Bill~21042
17358~Net value~Clark, Peter J.~4810
17359~Net worth~Hagell III, John~14746
17360~Net-works guide to wap and wml~Smith, Pete~5735
17361~Netaji न ताजी~Walimbe, Vi.Sa.~2174
17362~Netgain~Hagel, J. III [Et.al]~8741
17363~Netherland reassurantie group consolidated annual report 1981-82~Netherland Reassurantie Group~10492
17364~Netherlands reinsurance group quarterly     ~~33859
17365~Netscape navigator 30~Pfaffenberger, Bryan~22366
17366~Network analysis series~Knoke, D. [Et.al]~20167
17367~Network interrupts~Brown, Raplh~10906
17368~Network management~Subramanian, Mani~3881
17369~Network of thought~Krishnamurthy, J~19709
17370~Network security~Fadia, Ankit~16127
17371~Network security~Kaufman, Charlie~16128
17372~Network society~Dijk, Jan Van~11575
17373~Network Supprt Encyclopedia (Original CD)~~23643
17374~Network techniques in project management ~Majumdar, B B~5488
17375~Network tools (January 2002)~PC Quest~22795
17376~Network troubleshooting tools~Sloan, Joseph D.~16505
17377~Network world       ~~33758
17378~Networking~Zacker, Craig~22352
17379~Networking complete~BPB Publications~6947
17380~Networking essentials~Nash, J.~17289
17381~Networking essentials: MCSE study guide [with CD]~,, ,,~25448
17382~Networking essentials: MCSE study guide [with CD]~Nash, J.~25449
17383~Networking for career success~Darling, Philip~1564
17384~Networking ibm pcs~Durr, Michael~1954
17385~Neural network time series forecasting of financial markets~Azoff, E.M.~7031
17386~Neural networks and a new artificial intelligence~Dorffner, George Ed.~1999
17387~Neural networks in the capital markets~Refenes, A-P~1922
17388~Neuro-linguistic programming in a week~Shapiro, Mo~4078
17389~Neuromarketing in action ~Georges, Patrick, ~14765
17390~Never give up~Sathe, Nilesh~19579
17391~Never send flowers~Gardner, J.~1625
17392~Never-before world~Bijapurkar, Rama~10375
17393~Never, never, never give up~Arya, Roy~3362
17394~New abcs of success~Swindell, Gene~19221
17395~New age branding~Gupta, Vivek~3690
17396~New age enterprise it~Krishnan, S. Jaya~20775
17397~New age entrepreneurs~Rhi~12606
17398~New age of innovation~Prahalad, C.K.~19179
17399~New age of marketing~Rajashekar, N.~5674
17400~New approach to accountancy~Kotalwar, H.R..~18170
17401~New approach to accountancy~Kotalwar, H.R.~18171
17402~New art of the leader~Cohen, William A.~13387
17403~New assessment programme & other changes~Lal, A.K.~2690
17404~New aviation policy of India ~Bhatt, S.~1454
17405~New book of world rankings~Kurian, G.~4
17406~New business dictionary~Banerjee, Shyamal~5889
17407~New cambridge history of India~Gordon, Stewart~12869
17408~New century~Malhotra, Manmohan~1202
17409~New century's dictionary of insurance~New Century Publications~3428
17410~New ceo~Steiner, George~21646
17411~New challenges for management research~Rinooy, Kan~2569
17412~New competition~Kotler, Philip~14482
17413~New corporate activism - harnessing the power of grassroots ~Grefe, E.A. [Et.al]~18449
17414~New digital age~Schmidt, Eric, ~6219
17415~New dimensionl in personnel management ~Basu, R. S.~19865
17416~New dimensions in investor relations~Marcus, B.W. [Et.al]~7095
17417~New directions for organization theory~Pfeffer, Jeffrey~7051
17418~New directions in finance~Ghosh, D.K. [Et.al]~22137
17419~New directions in management~Jackson, Michael & Keys, Paul~15223
17420~New directions in mis management~Thierauf, Robert~15397
17421~New directions in the philosophy of mathematics~Tymoczko, Thomas~1137
17422~New dynamics of goal setting - flextactics for a fast-changing~Waitley, Denis~17516
17423~New economic strategies for growth in developing countries~Kothari, S.~3066
17424~New elite~Goldsmith W.~5231
17425~New emerging market multinationals~Chattopadhyay, Amitava.~22090
17426~New emperors - mao and deng~Salisbury, H.E.~814
17427~New employee orientation training~Lawson, Karen~34205
17428~New encyclopaedia britannica~Encyclopaedia Britannica~20403
17429~New encyclopaedia britannica~Encyclopaedia Britannica~20404
17430~New encyclopaedia britannica~Encyclopaedia Britannica~20405
17431~New encyclopaedia britannica index a-k~Encyclopaedia Britannica~3383
17432~New encyclopaedia britannica index l-z~Encyclopaedia Britannica~12843
17433~New encyclopaedia britannica propaedia - outline of knowledge~Encyclopaedia Britannica~12927
17434~New era of management~Daft, Richard L.~1545
17435~New europe~Fair, D.E. [Et.al]~14853
17436~New foreign exchange manual 2001~Nabhi Publications~5214
17437~New forms of work organisation 1~~20328
17438~New forms of work organisation 2~International of Labour Organisation.~5264
17439~New foundations for insurance law~Rose, F. D.~14408
17440~New horizons for information technology~Rennie, John~19894
17441~New ideas from dead economists - an introduction to modern economics~Buchholz, Todd G.~19999
17442~New images~Professional ~6558
17443~New India assurance co ltd annual report 1990-91~New India Assurance ~890
17444~New India assurance coltd 62nd annual report ~New India Assurance ~15143
17445~New India assurance coltd annual report 1977-1981~New India Assurance ~18187
17446~New India assurance company limited~NICL~13613
17447~New India assurance company limited~New India Assurance Company Limited.~13614
17448~New India assurance company limited annual report 2000-2001~NIACL~18183
17449~New India assurance company limited annual report 2002-2003~New India Assurance Company Limited~4131
17450~New India assurance company limited annual report 2003-2004~NIACL~8947
17451~New India assurance company limited annual report 2004-2005~NICL~13748
17452~New India assurance company limited annual report 2005-2006~New India Assurance Company Limited~14352
17453~New India assurance company limited annual report 2009-2010~New India Assurance Company Limited~5232
17454~New India assurance company limited annual report 2011-2012~NIACL~442
17455~New India assurance company limited annual report 2012-2013~NIACL~5705
17456~New India assurance company limited annual report 2015-2016~NIACL~3506
17457~New India assurance company limited annual report 2016-2017~NIACL~8872
17458~New India assurance company limited annual report 2017-2018~NIACL~10801
17459~New India assurance company limited annual report 2018-2019~NIACL~17587
17460~New India assurance company limited दि न य इन डिया इन सुरन स कंपनी लिमिट डल कप रिय विमा प लीसी संकलन~New India Assurance Company Ltd.~8839
17461~New industrial policy & procedure 1991~Nabhi~15197
17462~New industrial policy and procedure~Nabhi Publication~10224
17463~New industrial state~Galbraith, John Kenneth.~13499
17464~New inspection techniques~Truscott~20624
17465~New instruments of finance in India~Kaptan, S.S.~13846
17466~New insurance law~Singh, B.N.~5779
17467~New insurance supervison workbook~Simpson, William F.~21280
17468~New insurance supervisor~Broadwell, Martin M. [Et.al]~22160
17469~New intelligence - artificial intelligence~Keyes, J.~3114
17470~New international webster's pocket and first aid dictionary of the english language~CBS~607
17471~New international webster's pocket business dictionary of the english language~CBS~13266
17472~New international webster's pocket computer dictionary of the english language~CBS~4533
17473~New international webster's pocket dictionary of the english language~CBS~5126
17474~New international webster's pocket grammar, speech style dictionary of the english language~CBS~5676
17475~New international webster's pocket spelling dictionary of the english language~CBS~1491
17476~New international webster's pocket thesaurus of the english language~CBS~184
17477~New leader-bringing creativity and innovation to the workplace~Smith, G.P.~21296
17478~New leaders~Goleman, Daniel~3289
17479~New leaders-achieving corporate transformation through dynamic ~Taffinder, Paul~12993
17480~New leadership paradigm~Sims, H.P. Jr. [Et.al]~3528
17481~New life insurance investment advisor~Baldwin, Ben G.~8253
17482~New man for the new millennium~Osho~9955
17483~New management~Fulmer, Robert M.~9255
17484~New management~Halal, W.E.~9256
17485~New management tools - ideas and techniques to help you as a man~Butteriss Margaret.~8379
17486~New manager~Tack , Alfred~19376
17487~New manager's handbook ~Stettner, Morey~9463
17488~New managerial econmics~Boyes William~188
17489~New managerial grid~Blake, Robert R.~1917
17490~New managerial order in asia~Basu, P.K.~8155
17491~New market wizards~Schwager, J.D.~20000
17492~New marketing~Brolkes, Richar D~10384
17493~New marketing strategies~Chaston, Ian~20928
17494~New marketing strategies~Chaston, I.~20929
17495~New masters~Oppenheim Phillip~19364
17496~New model bye-laws of the co-operative housing society (flat type) ~Snow White Publications ~19818
17497~New normal, radical shift ~Bettridge, Neela~1057
17498~New organisational wealth~Sveiby, Karl E.~701
17499~New organization~Hastings, Colin~18067
17500~New oxford guide to writing~Kane, T.S.~5652
17501~New palgrave~Eatwell, John~6171
17502~New palgrave dictionary of money & finance~Newman, Peter [Et.al]~5043
17503~New palgrave dictionary of money & finance~Newman, Peter [Et.al]~5044
17504~New palgrave dictionary of money & finance~Newman, Peter [Et.al]~5045
17505~New paradigms for gender inclusivity~Kaul, Asha~17670
17506~New passages~Sheehy, G.~16902
17507~New patterns of management~Likert, Rensis~4032
17508~New perspectives in management control~Lawe, Tory [Et.al]~17412
17509~New perspectives microsoft office 365 & excel 2016 ~Parsons, June Jamrich~3615
17510~New perspectives on rural marketing~Ramkishen, Y.~17452
17511~New product planning~Kahn, Kenneth B.~20881
17512~New product success stories - lessons from leading innovators~Thomas, R.J.~13993
17513~New realities~Drucker, Peter F.~3850
17514~New roget's thesaurus in dictionary form~Lewis, Norman~7096
17515~New rules~Kotter, John P.~10373
17516~New rules for the new economy~Kelly, K.~1588
17517~New rules for valuation of perquisities~Puri, V.K.~8815
17518~New rules of marketing and pr ~Scott, David Meerman~15292
17519~New rules of the games~Emshoff, J.R. [Et.al]~6597
17520~New science of asset allocation~Bitters, W.E.~4305
17521~New science of technical analysis~Demark, Thomas R.~3409
17522~New science of technical analysis-using the statistical~Sherry, C.J.~11834
17523~New scientist guide to chaos~Hall, Nina Ed.~19406
17524~New secrets of charishma~Lang, D.~5461
17525~New shop floor management~Suzaki, Kiyoshi~2435
17526~New shorter oxford english dictionary~Brown, L. Ed.~11433
17527~New social movements in the south~Wignaraja, P. Ed.~9761
17528~New social policy agendas for europe and asia~Marshall, Katherine~17849
17529~New strategic brand management~Kapferer, Jean-Noel~7865
17530~New strategic brand management~Kapferer, Jean-Noel~7866
17531~New strategic selling~Miller, Robert B.~22373
17532~New strategic selling~Heiman, S.E. [Et.al]~22374
17533~New strategists - creating leaders at all levels~Wall, Stephan J. [Et.al]~2648
17534~New supervisor training~Jones, John E.~34206
17535~New taipans ~Cragg, Claudia~7207
17536~New think~De Bone, E.~17761
17537~New thinking for the new millennium~De Bono, E.~14281
17538~New tools for management accounting~Smith, M.~8570
17539~New traditions in business~Renesch, John Ed.~11183
17540~New unblocked manager - a practical guide to self-development~Francis, D. [Et.al]~12364
17541~New vistas in accounting~Prasuna, D.G.~10574
17542~New ways of management conflict~Likert, Rensis & Likert, Jane Gibson~15513
17543~New world strategy~Summers, H.G.~11803
17544~New york public library student's desk reference ~Nypl~19947
17545~New york public library writer's guide to style and usage~Sutcliffe, A.J.~45
17546~NewGenLib open source software~Kiikm & Verus~25066
17547~Newgenlib software for library and information networking~Newgenlib~18983
17548~News headlines and Articles backup (Insurance)- 2010~NIA LIBRARY~23099
17549~Newsweek        ~~33715
17550~Newton in 90 MIN.~John & Mary Gribbin~22808
17551~Newton to einstein~Baierlein, Ralph~21771
17552~Newton's telecom dictionary, 20th~Newton, Harry~3445
17553~Next 500 years - life in the coming millennium~Berry, Adrian~9540
17554~Next factory of the world ~Sun, Irene Yuan~7441
17555~Next level~Wood, J.B.~7256
17556~Next one hundred years~Weiner, Jonathan.~13796
17557~Nfsiise~RU~23242
17558~NG-AI-R55 Check point firewall AI~RU~23304
17559~Ngos and women's development in rural south India~Vanita V.~12854
